,perum,detail
1,"<p class=""venue-front-title"">Taman Modern Cakung</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Modern Cakung</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Taman Modern Land</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Modern Land</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Taman Mutiara</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Mutiara</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Taman Mutiara Prima</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Mutiara Prima</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Taman Nyiur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Nyiur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,75mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.60jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Taman Palem Halim</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Palem Halim</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Taman Palem Kebagusan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Palem Kebagusan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Taman Palem Lestari</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Palem Lestari</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.380jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.25jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Taman Pegangsaan Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Pegangsaan Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.35jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Taman Permata Buana</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Buana</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.640jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.55jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Taman Permata Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Taman Permata Indah 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Indah 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Taman Permata Palem</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Palem</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.32jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Taman Permata Puri</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Puri</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Taman Permata Sunter</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Permata Sunter</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,7mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Taman Pesona Kebembem</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Pesona Kebembem</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Taman Pesona Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Pesona Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.120jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Taman Pulo Gebang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Pulo Gebang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.900jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Taman Pulo Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Pulo Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Taman Ratu</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Ratu</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.40jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Taman Resort Mediterania</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Resort Mediterania</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Taman Sari II</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sari II</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,7mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Taman Sari Residence Cikarang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sari Residence Cikarang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.370jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Taman Sari Residence Cikarang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sari Residence Cikarang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.370jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Taman Semanan Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Semanan Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.450jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.30jt<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Taman Setu Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Setu Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Taman Shangrila Indah 1</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Shangrila Indah 1</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,95mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Taman Sunter Agung</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sunter Agung</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.90jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Taman Sunter Agung 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sunter Agung 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,35mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Taman Sunter Agung 3</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Sunter Agung 3</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Taman Surya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Surya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.40jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Taman Surya 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Surya 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.40jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Taman Surya 3</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Surya 3</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.35jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Taman Surya 5</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Surya 5</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.33jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Taman surya Kalideres</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman surya Kalideres</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Taman Surya Raya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Surya Raya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Taman Tangkuban Perahu</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Tangkuban Perahu</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Taman Tirta Sunter 1</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Tirta Sunter 1</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,75mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Taman Tirta Sunter 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Tirta Sunter 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Taman Villa Meruya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Villa Meruya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Taman Walet Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Walet Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Taman Wijaya Kusuma Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Taman Wijaya Kusuma Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Tamanpuri Oasis</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamanpuri Oasis</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Kebayoran Baru, Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Tamarin Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamarin Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,25mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Tamarind Lane Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamarind Lane Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.125jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Tamarind Lofts</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamarind Lofts</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Tambora</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tambora</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Tamini Garden</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamini Garden</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,58mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Tamini Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamini Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Tamsana Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tamsana Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Tanah Kusir</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanah Kusir</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.900jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Tanah Teduh Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanah Teduh Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.10mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.264jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Tangkas Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tangkas Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Tanjung Barat Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanjung Barat Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.130jt<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Tanjung Barat Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanjung Barat Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Tanjung Barat Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanjung Barat Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Tanjung Duren Selatan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanjung Duren Selatan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Tanjung Mas Raya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tanjung Mas Raya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.125jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Tata Bumi</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tata Bumi</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Tawes Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tawes Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">tb simatupang </p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">tb simatupang </p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.500jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">tb.simatupang resident</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">tb.simatupang resident</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.579jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Teak Housing One</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Teak Housing One</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Tebet Barat</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tebet Barat</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Tebet Mas Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tebet Mas Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.140jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Tebet Mas Regency</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Tebet Mas Regency</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">TEBET TIMUR DALAM, TEBET</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">TEBET TIMUR DALAM, TEBET</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.135jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Teladan 82 Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Teladan 82 Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Telkom</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Telkom</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Teluk Gong</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Teluk Gong</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.800jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
