,region,price,details
157,"Kemayoran, Jakarta Pusat",Rp 795.000.000,2 KT - 1 KM - 50 m2
158,"Gambir, Jakarta Pusat",Rp 3.500.000.000,10 KT - 4 KM - 206 m2
159,"Kemayoran, Jakarta Pusat",Rp 282.500.000,2 KT - 1 KM - 38 m2
160,"Tanjung Priok, Jakarta Utara",Rp 10.000.000.000,5 KT - 3 KM - 10 m2
161,"Tanjung Priok, Jakarta Utara",Rp 975.000.000,2 KT - 2 KM - 54 m2
162,"Tanjung Priok, Jakarta Utara",Rp 2.990.000.000,3 KT - 3 KM - 144 m2
163,"Tanjung Priok, Jakarta Utara",Rp 5.900.000.000,4 KT - 3 KM - 350 m2
164,"Tanjung Priok, Jakarta Utara",Rp 5.800.000.000,4 KT - 2 KM - 144 m2
165,"Tanjung Priok, Jakarta Utara",Rp 5.200.000.000,4 KT - 4 KM - 231 m2
166,"Gambir, Jakarta Pusat",Rp 700.000.000,3 KT - 2 KM - 37 m2
167,"Tanjung Priok, Jakarta Utara",Rp 10.000.000.000,4 KT - 4 KM - 380 m2
168,"Penjaringan, Jakarta Utara",Rp 1.500.000.000,3 KT - 3 KM - 190 m2
169,"Tanjung Priok, Jakarta Utara",Rp 1.600.000.000,5 KT - 4 KM - 125 m2
170,"Penjaringan, Jakarta Utara",Rp 3.500.000.000,4 KT - 3 KM - 400 m2
171,"Pademangan, Jakarta Utara",Rp 2.900.000.000,3 KT - 3 KM - 255 m2
172,"Tanjung Priok, Jakarta Utara",Rp 3.000.000.000,3 KT - 3 KM - 150 m2
173,"Gambir, Jakarta Pusat",Rp 5.250.000.000,4 KT - 4 KM - 198 m2
174,"Kemayoran, Jakarta Pusat",Rp 393.000.000,2 KT - 1 KM - 35 m2
175,"Kemayoran, Jakarta Pusat",Rp 550.000.000,3 KT - 2 KM - 70 m2
176,"Sawah Besar, Jakarta Pusat",Rp 3.750.000.000,&gt;10 KT - &gt;10 KM - 800 m2
177,"Sawah Besar, Jakarta Pusat",Rp 245.000.000,2 KT - 1 KM - 40 m2
178,"Penjaringan, Jakarta Utara",Rp 354.400.000,2 KT - 1 KM - 42 m2
179,"Tanjung Priok, Jakarta Utara",Rp 158.000.000,2 KT - 1 KM - 36 m2
180,"Taman Sari, Jakarta Barat",Rp 4.500.000.000,&gt;10 KT - &gt;10 KM - 320 m2
181,"Pademangan, Jakarta Utara",Rp 568.000.000,2 KT - 2 KM - 53 m2
182,"Tanjung Priok, Jakarta Utara",Rp 1.295.000.000,2 KT - 2 KM - 68 m2
183,"Tanjung Priok, Jakarta Utara",Rp 1.500.000.000,3 KT - 3 KM - 250 m2
184,"Tanjung Priok, Jakarta Utara",Rp 3.500.000.000,4 KT - 4 KM - 340 m2
185,"Pademangan, Jakarta Utara",Rp 2.350.000.000,3 KT - 4 KM - 210 m2
186,"Tanjung Priok, Jakarta Utara",Rp 1.800.000.000,8 KT - 1 KM - 150 m2
187,"Pademangan, Jakarta Utara",Rp 3.750.000.000,10 KT - 10 KM - 126 m2
188,"Sawah Besar, Jakarta Pusat",Rp 475.000.000,2 KT - 1 KM - 50 m2
189,"Tanjung Priok, Jakarta Utara",Rp 1.282.000.000,3 KT - 2 KM - 120 m2
190,"Penjaringan, Jakarta Utara",Rp 3.950.000.000,4 KT - 3 KM - 297 m2
191,"Pademangan, Jakarta Utara",Rp 3.100.000.000,3 KT - 2 KM - 196 m2
192,"Penjaringan, Jakarta Utara",Rp 2.000.000.000,3 KT - 2 KM - 220 m2
193,"Penjaringan, Jakarta Utara",Rp 3.900.000.000,3 KT - 2 KM - 389 m2
194,"Penjaringan, Jakarta Utara",Rp 975.000.000,2 KT - 1 KM - 54 m2
195,"Penjaringan, Jakarta Utara",Rp 7.000.000.000,4 KT - 3 KM - 300 m2
196,"Tanjung Priok, Jakarta Utara",Rp 5.000.000.000,4 KT - 3 KM - 300 m2
197,"Tambora, Jakarta Barat",Rp 5.500.000.000,&gt;10 KT - 4 KM - 220 m2
198,"Taman Sari, Jakarta Barat",Rp 275.000.000,2 KT - 1 KM - 27 m2
199,"Tanjung Priok, Jakarta Utara",Rp 750.000.000,3 KT - 2 KM - 45 m2
200,"Tanjung Priok, Jakarta Utara",Rp 3.000.000.000,5 KT - 2 KM - 110 m2
201,"Tanjung Priok, Jakarta Utara",Rp 4.000.000.000,4 KT - 1 KM - 200 m2
202,"Tanjung Priok, Jakarta Utara",Rp 2.300.000.000,3 KT - 2 KM - 120 m2
203,"Tanjung Priok, Jakarta Utara",Rp 3.800.000.000,4 KT - 3 KM - 235 m2
204,"Tanjung Priok, Jakarta Utara",Rp 1.850.000.000,2 KT - 1 KM - 75 m2
205,"Tanjung Priok, Jakarta Utara",Rp 2.070.000.000,4 KT - 2 KM - 230 m2
206,"Kemayoran, Jakarta Pusat",Rp 1.700.000.000,2 KT - 1 KM - 98 m2
207,"Tanjung Priok, Jakarta Utara",Rp 250.000.000,1 KT - 1 KM - 31 m2
208,"Kemayoran, Jakarta Pusat",Rp 1.700.000.000,8 KT - 8 KM - 40 m2
209,"Tanjung Priok, Jakarta Utara",Rp 2.530.000.000,8 KT - 5 KM - 1 m2
210,"Tanjung Priok, Jakarta Utara",Rp 3.200.000.000,4 KT - 3 KM - 98 m2
211,"Tanjung Priok, Jakarta Utara",Rp 8.000.000.000,5 KT - 4 KM - 468 m2
212,"Gambir, Jakarta Pusat",Rp 7.999.999.999,7 KT - 5 KM - 1000 m2
213,"Sawah Besar, Jakarta Pusat",Rp 325.000.000,1 KT - 1 KM - 21 m2
214,"Gambir, Jakarta Pusat",Rp 2.200.000.000,2 KT - 2 KM - 800 m2
215,"Tambora, Jakarta Barat",Rp 485.000.000,3 KT - 1 KM - 50 m2
216,"Penjaringan, Jakarta Utara",Rp 4.700.000.000,3 KT - 3 KM - 200 m2
217,"Tanjung Priok, Jakarta Utara",Rp 1.050.000.000,4 KT - 2 KM - 109 m2
218,"Penjaringan, Jakarta Utara",Rp 3.500.000.000,5 KT - 4 KM - 300 m2
219,"Sawah Besar, Jakarta Pusat",Rp 225.000.000,1 KT - 1 KM - 12 m2
220,"Gambir, Jakarta Pusat",Rp 9.000.000.000,7 KT - 7 KM - 200 m2
221,"Sawah Besar, Jakarta Pusat",Rp 22.500.000.000,6 KT - 5 KM - 300 m2
222,"Tanjung Priok, Jakarta Utara",Rp 21.000.000.000,6 KT - 7 KM - 1200 m2
223,"Penjaringan, Jakarta Utara",Rp 3.100.000.000,3 KT - 3 KM - 90 m2
224,"Kemayoran, Jakarta Pusat",Rp 2.000.000.000,5 KT - 2 KM - 140 m2
225,"Penjaringan, Jakarta Utara",Rp 3.000.000.000,4 KT - 3 KM - 90 m2
226,"Kemayoran, Jakarta Pusat",Rp 2.600.000.000,5 KT - 4 KM - 90 m2
227,"Gambir, Jakarta Pusat",Rp 5.500.000.000,3 KT - 3 KM - 302 m2
228,"Pademangan, Jakarta Utara",Rp 18.500.000.000,4 KT - 4 KM - 910 m2
229,"Pademangan, Jakarta Utara",Rp 650.000.000,8 KT - 2 KM - 45 m2
230,"Tanjung Priok, Jakarta Utara",Rp 10.000.000.000,4 KT - 4 KM - 250 m2
231,"Tanjung Priok, Jakarta Utara",Rp 11.000.000.000,6 KT - 5 KM - 418 m2
232,"Tanjung Priok, Jakarta Utara",Rp 1.300.000.000,1 KT - 1 KM - 67 m2
233,"Tanjung Priok, Jakarta Utara",Rp 10.000.000.000,4 KT - 3 KM - 500 m2
234,"Tanjung Priok, Jakarta Utara",Rp 12.000.000.000,7 KT - 4 KM - 550 m2
235,"Tanjung Priok, Jakarta Utara",Rp 9.750.000.000,5 KT - 4 KM - 500 m2
236,"Tanjung Priok, Jakarta Utara",Rp 11.000.000.000,7 KT - 5 KM - 512 m2
237,"Tanjung Priok, Jakarta Utara",Rp 9.000.000.000,7 KT - 5 KM - 550 m2
238,"Tanjung Priok, Jakarta Utara",Rp 3.000.000.000,3 KT - 2 KM - 162 m2
239,"Tanjung Priok, Jakarta Utara",Rp 13.500.000.000,4 KT - 2 KM - 144 m2
240,"Tanjung Priok, Jakarta Utara",Rp 3.200.000.000,3 KT - 3 KM - 98 m2
241,"Tanjung Priok, Jakarta Utara",Rp 1.050.000.000,4 KT - 2 KM - 210 m2
242,"Tanjung Priok, Jakarta Utara",Rp 1.300.000.000,3 KT - 2 KM - 120 m2
243,"Tanjung Priok, Jakarta Utara",Rp 2.500.000.000,4 KT - 3 KM - 250 m2
244,"Penjaringan, Jakarta Utara",Rp 11.000.000.000,3 KT - 3 KM - 220 m2
245,"Penjaringan, Jakarta Utara",Rp 12.000.000.000,6 KT - 4 KM - 290 m2
246,"Penjaringan, Jakarta Utara",Rp 3.200.000.000,2 KT - 1 KM - 150 m2
247,"Tanjung Priok, Jakarta Utara",Rp 2.900.000.000,3 KT - 3 KM - 200 m2
248,"Sawah Besar, Jakarta Pusat",Rp 4.000.000.000,2 KT - 2 KM - 195 m2
249,"Kemayoran, Jakarta Pusat",Rp 699.000.000,3 KT - 2 KM - 55 m2
250,"Sawah Besar, Jakarta Pusat",Rp 8.000.000.000,&gt;10 KT - &gt;10 KM - 750 m2
251,"Kemayoran, Jakarta Pusat",Rp 5.000.000.000,&gt;10 KT - &gt;10 KM - 400 m2
